id,severity,status,summary,evidence,impact
protected-card-entry,high,fixed and regression tested,An active professional card now preserves eligible qualifier access below World #128.,Eight qualifying/ranking access cases pass; no-card entrants and top-16/one-year restricted draws retain their rules. CPU expiry and top-up tests pass.,A protected season is no longer silently lost because its holder drops below the initial 128-player ranking band.
human-world-record-match-count,high,fixed; old saves repaired,Human world-player seasons use actual match totals rather than event counts.,"2,652 human and 3,777,595 CPU season records compared with scored brackets: 0 mismatches. All 78 final exports parsed and checked against cumulative human season totals. Old 25/50-season saves repair without changing cash or the financial ledger.",Known surviving summaries restore exact counts; unknown older totals are preserved rather than fabricated.
age49-start-route,high,fixed and retested,Age 49 has an eligible bottom-tour professional start.,"Both age-49 cases use start-bottom-tour. Catalogue validation covers ages 12–80, and configurations with no eligible route throw instead of silently creating a junior.",The earlier age-49 junior fallback results are excluded from like-for-like balance claims.
audit-finance-categories,medium,fixed and reconciled,Team/story transactions and withdrawal refunds are included in audit cash accounting.,"0 cash reconciliation failures across 2,652 closed seasons. Original £541 residual reproduced as £450 net team transactions plus £91 refunds.",Fixes the report accounting; it does not invent money or alter game payouts. Concurrent internal adjustments may still appear in the disclosed Other category.
duplicate-world-winrate-warning,low,fixed and verified,Overlapping World/major win-rate warnings are emitted once.,0 completed careers contain duplicate threshold warnings.,"A high win rate with no trophy can be legitimate and remains an audit heuristic, not an automatic game defect."
youngest-start-balance,medium,remaining balance concern,The youngest careers still lose frequently before later progression.,"age12-104729: 22/143 wins/matches in first six seasons; first earned card at 23; final cash £1,771,835; age12-130363: 30/142 wins/matches in first six seasons; first earned card at 23; final cash £2,271,160",Solvency and eventual promotion do not establish an enjoyable opening career. Review event selection and attainable junior objectives before adjusting fair match probabilities.
older-start-balance,medium,balance review still needed,Late-career win and trophy opportunities vary substantially by starting route.,"age40-104729: 49/214 wins/matches, 1 titles; age40-130363: 34/213 wins/matches, 0 titles; age45-104729: 35/175 wins/matches, 0 titles; age45-130363: 30/170 wins/matches, 0 titles; age49-104729: 26/133 wins/matches, 0 titles; age49-130363: 19/127 wins/matches, 0 titles; age50-104729: 12/107 wins/matches, 0 titles; age50-130363: 10/104 wins/matches, 0 titles",The audit manager and age decline affect these outcomes; a playable solvent save can still provide an unrewarding season. Assess available local/senior events and player expectations.
long-career-wealth,medium,remaining balance / management-policy concern,Large savings can still accumulate under the low-cost automated manager.,"Highest final cash: age19-130363, £6,276,113. Lifetime recorded categories: prizeMoney £3,367,403; sponsorIncome £3,367,531; coachingStaffCosts £-83,737; facilityCosts £0; equipmentMaintenance £-11,406; tournamentEntryFees £-18,585; travelHotelCosts £-214,442; treatmentRecoveryCosts £-7,200; teamAndStoryEvents £34,200; other £-165,652",Two seeds and a low-cost staff/facility policy do not justify compulsory cash drains. Sponsorship after card loss and meaningful optional spending deserve human playtesting.
first-week-guide-clicks,low,fixed and browser tested,The invisible area around the first-week popup no longer intercepts page clicks.,The outer wrapper passes clicks through while its panel and launcher remain interactive; popup and keyboard tests pass.,Users can use controls outside the visible guide.
hub-available-height,low,fixed and browser tested,Tournament Hub uses available screen height when a required decision banner is present.,1280×720 layout and decision-block tests pass; duplicate paused-action explanation removed while the required decision link remains.,Preserves usable bracket space and a visible way to resolve the blocker.
audit-provisional-world-entry,medium,fixed in audit manager; separate replay passed,The audit manager retained an invalid provisional main-draw booking until qualifying had ended.,"Original 25-season replay matched exactly. Corrected replay leaves the first 24 seasons unchanged, then records two qualifying wins and a World Championship quarter-final; no career errors or cash discrepancies. Four regression tests pass.",Game eligibility correctly selected qualifying; the automated manager now withdraws invalid locked future entries using normal refunds. All 78 frozen matrix outcomes remain unchanged and the corrected replay is reported separately.
